ID;Zona Urbana/Rural;Usuário;Você tem título de eleitor e vota em Itaíba?;Em qual localidade você mora?;Sexo;Idade;Escolaridade;Renda da Família;Vamos começar a pesquisa. Por favor, reflita. Neste ano, 2024, terá eleição para Prefeitura de Itaíba. Você já tem candidato?;Se sim, quem?;Considerando opções, se os candidatos forem estes, em quem você votaria?;E, considerando estas diferentes opções, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;Na sua opinião, qual seria o candidato a vice-prefeito ideal para Rogéria Martins?;Mudando de assunto. Na sua opinião, a Prefeita de Itaíba, Regina da Saúde, está realizando uma administração:;5 ̊) De um modo geral, você aprova ou desaprova a gestão da Prefeita de Itaíba, Regina da Saúde?;Em relação ao Governo Estadual, a governadora Raquel Lyra, está realizando uma administração:;Em relação ao Governo Federal, o presidente Lula, está realizando uma administração:;Agora, sobre as dificuldades do dia a dia, na sua opinião, qual é o principal problema de Itaíba?;Agora, avalie cada área do município entre ótimo, bom, regular, ruim ou péssimo: Saúde;Educação;Segurança;Limpeza;Calçamento/Estradas;Iluminação Pública;Assistência Social/Ação Social;Transporte (Carro da Saúde/Escolar);Lazer (Festas, Incentivo a Cultura, Esportes);Agricultura (Apoio ao Produtor Rural);Abastecimento de Água;Na sua opinião, qual obra ou ação você gostaria que fosse realizada pelo próximo prefeito(a) de Itaíba?;Ainda sobre política, reflita. Qual o vereador mais atuante/que mais trabalha por Itaíba?;Para cada um desses nomes, diga se VOTARIA COM CERTEZA, PODERIA VOTAR, NÃO VOTARIA DE JEITO NENHUM ou NÃO CONHECE O SUFICIENTE PARA OPINAR: Rogéria Martins;Pedro Pilota;Valdo do Pipa;Por último, reflita. Você votaria num candidato(a) apoiado pela atual prefeita Regina da Saúde?
120;Zona Urbana;agatha ;Sim;Centro;Masculino;60 anos ou mais;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Eraldo Pequeno;Péssima;Desaprova;Regular;Péssima;Geração de Emprego e Renda;Regular;Regular;Péssimo;Péssimo;Péssimo;Ruim;Péssimo;Ruim;Péssimo;Péssimo;Ruim;Estrutura da cidade;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Não votaria
311;Zona Rural;Manuela ;Sim;Assentamento Lagoa Comprida;Masculino;60 anos ou mais;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Rogéria Martins;Eraldo Pequeno;Regular;Aprova;Ótima;Ótima;Saúde;Regular;Bom;Regular;Bom;Péssimo;Ruim;Regular;Bom;Ruim;Regular;Regular;Calçamento de Ruas;Não sabe/Não respondeu;Poderia votar;Não votaria de jeito nenhum;Votaria com certeza;Depende do candidato
2;Zona Urbana;Luciana ;Sim;Centro;Feminino;25 a 34 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Flaviano Martins ;Péssima;Desaprova;Regular;Regular;Geração de Emprego e Renda;Péssimo;Regular;Péssimo;Péssimo;Péssimo;Péssimo;Regular;Péssimo;Péssimo;Péssimo;Péssimo;Resgatar Festa do Leite;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Não votaria
123;Zona Urbana;agatha ;Sim;Centro;Masculino;45 a 59 anos;Até a faculdade ou mais;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Pedro Pilota;Rogéria Martins;Flaviano Martins ;Regular;Aprova;Regular;Péssima;Geração de Emprego e Renda;Bom;Bom;Ruim;Bom;Ruim;Regular;Regular;Regular;Não sabe/Não respondeu;Não sabe/Não respondeu;Ruim;Atrair empresas e gerar empregos;Dindo;Votaria com certeza;Poderia votar;Poderia votar;Depende do candidato
140;Zona Urbana;Luciana ;Sim;Centro;Feminino;25 a 34 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Flaviano Martins ;Boa;Aprova;Regular;Boa;Geração de Emprego e Renda;Bom;Regular;Regular;Bom;Ruim;Bom;Ruim;Bom;Péssimo;Não sabe/Não respondeu;Regular;Atrair empresas e gerar empregos;Jessé;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Depende do candidato
161;Zona Urbana;Wenia ;Sim;Centro;Feminino;34 a 44 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Flaviano Martins ;Regular;Desaprova;Boa;Boa;Infraestrutura;Regular;Regular;Péssimo;Péssimo;Péssimo;Ruim;Regular;Regular;Ruim;Ruim;Péssimo;Programas de Moradias;Jessé;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Não votaria
163;Zona Urbana;Wenia ;Sim;Centro;Feminino;25 a 34 anos;Até o ensino fundamental;Prefere não responder;Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Flaviano Martins ;Ótima;Aprova;Regular;Boa;Geração de Emprego e Renda;Bom;Bom;Regular;Regular;Bom;Regular;Regular;Bom;Bom;Regular;Ruim;Atrair empresas e gerar empregos;Jessé;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Sim, votaria
164;Zona Urbana;Wenia ;Sim;Centro;Masculino;16 a 24 anos;Até o ensino fundamental;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Flaviano Martins ;Ótima;Aprova;Regular;Boa;Estradas/Calçamento/Asfalto;Bom;Regular;Regular;Regular;Ruim;Regular;Ruim;Ruim;Regular;Péssimo;Péssimo;Recuperar e construir escolas;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
165;Zona Urbana;Wenia ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino fundamental;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Flaviano Martins ;Ótima;Aprova;Ruim;Boa;Abastecimento de Água;Ótimo;Regular;Bom;Regular;Péssimo;Péssimo;Regular;Bom;Regular;Regular;Péssimo;Creche;Jessé;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Sim, votaria
167;Zona Urbana;Wenia ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Flaviano Martins ;Ruim;Desaprova;Regular;Boa;Estradas/Calçamento/Asfalto;Regular;Bom;Péssimo;Regular;Péssimo;Bom;Regular;Regular;Regular;Ruim;Péssimo;Calçamento de Ruas;Não sabe/Não respondeu;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Sim, votaria
271;Zona Urbana;Wenia ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino fundamental;Prefere não responder;Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Pedro Pilota;Rogéria Martins;Flaviano Martins ;Boa;Aprova;Boa;Regular;Limpeza;Bom;Regular;Péssimo;Regular;Bom;Bom;Bom;Bom;Regular;Péssimo;Péssimo;Recuperar e construir escolas;Jessé;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Sim, votaria
273;Zona Urbana;Wenia ;Sim;Centro;Masculino;25 a 34 anos;Até o ensino fundamental;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Flaviano Martins ;Ótima;Aprova;Ótima;Boa;Estradas/Calçamento/Asfalto;Ótimo;Bom;Regular;Ruim;Péssimo;Ruim;Ruim;Péssimo;Regular;Ruim;Péssimo;Recuperar e construir escolas;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
275;Zona Urbana;Wenia ;Sim;Centro;Masculino;34 a 44 anos;Até o ensino médio;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Flaviano Martins ;Ótima;Aprova;Regular;Ótima;Estradas/Calçamento/Asfalto;Ótimo;Bom;Ruim;Regular;Ruim;Péssimo;Bom;Ruim;Ruim;Ruim;Péssimo;Melhorias no Hospital;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
310;Zona Rural;Wenia ;Sim;Libertação;Feminino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Pedro Pilota;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Flaviano Martins ;Ótima;Aprova;Boa;Ótima;Estradas/Calçamento/Asfalto;Ótimo;Regular;Ótimo;Bom;Regular;Ótimo;Regular;Ótimo;Regular;Regular;Regular;Manutenção das Estradas;Dindo;Não votaria de jeito nenhum;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
357;Zona Rural;Wenia ;Sim;Serra dos Cavalos;Masculino;45 a 59 anos;Analfabeto/Lê e Escreve;Prefere não responder;Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Flaviano Martins ;Ótima;Aprova;Regular;Péssima;Abastecimento de Água;Ruim;Péssimo;Regular;Péssimo;Péssimo;Péssimo;Péssimo;Ruim;Ruim;Ruim;Péssimo;Abastecimento de Água;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
358;Zona Rural;Wenia ;Sim;Serra dos Cavalos;Masculino;34 a 44 anos;Analfabeto/Lê e Escreve;Prefere não responder;Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Flaviano Martins ;Ótima;Aprova;Regular;Ótima;Estradas/Calçamento/Asfalto;Ótimo;Bom;Ruim;Regular;Péssimo;Péssimo;Ótimo;Bom;Regular;Péssimo;Regular;Abastecimento de Água;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não conhece o suficiente;Sim, votaria
52;Zona Urbana;Luciana ;Sim;Centro;Masculino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Rogéria Martins;Jessé;Regular;Aprova;Boa;Boa;Lazer;Bom;Bom;Bom;Bom;Bom;Péssimo;Bom;Bom;Regular;Ruim;Bom;Calçamento de Ruas;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Votaria com certeza;Não votaria
78;Zona Urbana;Rochelle ;Sim;Centro;Masculino;25 a 34 anos;Até o ensino médio;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Jessé;Ruim;Desaprova;Não sabe/Não respondeu;Boa;Estradas/Calçamento/Asfalto;Bom;Bom;Ruim;Regular;Ruim;Bom;Regular;Regular;Regular;Não sabe/Não respondeu;Regular;Calçamento de Ruas;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Depende do candidato
81;Zona Urbana;Rochelle ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Jessé;Péssima;Desaprova;Péssima;Boa;Segurança;Regular;Regular;Ruim;Bom;Regular;Regular;Regular;Regular;Regular;Regular;Regular;Calçamento de Ruas;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Depende do candidato
97;Zona Urbana;Paula;Sim;Centro;Masculino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Jessé;Regular;Não sabe/Não respondeu;Boa;Péssima;Estradas/Calçamento/Asfalto;Ótimo;Ótimo;Péssimo;Bom;Péssimo;Bom;Bom;Bom;Péssimo;Péssimo;Péssimo;Incentivo a esportes;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
101;Zona Urbana;Paula;Sim;Centro;Masculino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Jessé;Regular;Não sabe/Não respondeu;Regular;Regular;Estradas/Calçamento/Asfalto;Regular;Regular;Bom;Regular;Péssimo;Regular;Ruim;Não sabe/Não respondeu;Péssimo;Péssimo;Ruim;Calçamento de Ruas;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
114;Zona Urbana;agatha ;Sim;Centro;Feminino;34 a 44 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Jessé;Péssima;Desaprova;Péssima;Boa;Limpeza;Regular;Bom;Péssimo;Bom;Péssimo;Bom;Regular;Regular;Péssimo;Regular;Bom;Atrair empresas e gerar empregos;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Não votaria
132;Zona Urbana;agatha ;Sim;Centro;Masculino;34 a 44 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Jessé;Péssima;Desaprova;Boa;Boa;Segurança;Bom;Bom;Ruim;Bom;Ruim;Ruim;Regular;Péssimo;Péssimo;Ruim;Péssimo;Resgatar Festa do Leite;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Não votaria
133;Zona Urbana;Luciana ;Sim;Centro;Feminino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Jessé;Boa;Aprova;Boa;Boa;Infraestrutura;Bom;Bom;Regular;Bom;Péssimo;Regular;Regular;Regular;Péssimo;Regular;Péssimo;Estrutura da cidade;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Depende do candidato
149;Zona Urbana;Wenia ;Sim;Centro;Feminino;34 a 44 anos;Até o ensino fundamental;Prefere não responder;Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Jessé;Ótima;Aprova;Regular;Ótima;Educação;Bom;Regular;Regular;Regular;Regular;Péssimo;Bom;Regular;Regular;Regular;Péssimo;Atrair empresas e gerar empregos;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
150;Zona Urbana;Wenia ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Jessé;Boa;Aprova;Regular;Regular;Geração de Emprego e Renda;Bom;Bom;Regular;Regular;Regular;Regular;Regular;Regular;Ruim;Regular;Ótimo;Melhorias no Hospital;Dindo;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
153;Zona Urbana;Wenia ;Sim;Centro;Feminino;25 a 34 anos;Até a faculdade ou mais;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Jessé;Regular;Aprova;Regular;Boa;Não sabe/Não respondeu;Regular;Bom;Ruim;Bom;Péssimo;Péssimo;Bom;Bom;Ruim;Ruim;Regular;Recuperar e construir escolas;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
155;Zona Urbana;Wenia ;Sim;Centro;Feminino;45 a 59 anos;Analfabeto/Lê e Escreve;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Jessé;Boa;Aprova;Regular;Boa;Estradas/Calçamento/Asfalto;Regular;Regular;Regular;Regular;Péssimo;Bom;Regular;Ruim;Regular;Regular;Bom;Recuperar e construir escolas;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
156;Zona Urbana;Wenia ;Sim;Centro;Masculino;25 a 34 anos;Até o ensino fundamental;Prefere não responder;Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Jessé;Ótima;Aprova;Regular;Regular;Estradas/Calçamento/Asfalto;Bom;Bom;Regular;Bom;Regular;Regular;Regular;Regular;Ruim;Ruim;Ruim;Incentivo a esportes;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
158;Zona Urbana;Wenia ;Sim;Centro;Masculino;45 a 59 anos;Analfabeto/Lê e Escreve;Prefere não responder;Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Jessé;Ótima;Aprova;Regular;Boa;Segurança;Ótimo;Bom;Ruim;Regular;Regular;Bom;Regular;Ruim;Regular;Regular;Regular;Recuperar e construir escolas;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
